Date,Close,Average,Volume
1914/9/1,11.622,0.41,120708700
1914/10/1,5.536,0.626,258760600
1914/11/1,2.416,0.235,117411000
1914/12/1,3.335,0.654,168347900
1915/1/1,-4.162,0.579,112035700
1915/2/1,-2.409,0.341,108825500
1915/3/1,-4.874,0.986,125491800
1915/4/1,1.758,0.637,167717200
1915/5/1,5.405,0.794,102099900
1915/6/1,10.112,0.398,164600800
1915/7/1,15.163,0.405,106938300
1915/8/1,14.635,0.508,139636000
1915/9/1,9.884,0.444,157523100
1915/10/1,4.228,0.553,108824100
1915/11/1,0.803,0.503,230548500
1915/12/1,-7.641,1.081,273252700
1916/1/1,-1.493,0.858,308196000
1916/2/1,-2.124,0.899,180406100
1916/3/1,-3.391,0.534,137865000
1916/4/1,2.626,0.75,93194500
1916/5/1,5.608,0.362,98115500
1916/6/1,10.086,0.348,98232400
1916/7/1,15.938,0.685,99750700
1916/8/1,12.869,0.448,137762800
1916/9/1,9.883,0.662,107627800
1916/10/1,4.923,0.587,105972300
1916/11/1,5.123,0.53,108482500
1916/12/1,0.118,0.472,127087100
1917/1/1,-6.704,1.639,160622000
1917/2/1,-5.987,0.651,90313300
1917/3/1,-7.022,0.426,70439600
1917/4/1,-0.32,0.403,95886000
1917/5/1,5.956,0.723,96056800
1917/6/1,14.474,1.221,90321000
1917/7/1,14.753,0.627,198961700
1917/8/1,17.443,0.387,100901500
1917/9/1,11.9,0.384,164412500
1917/10/1,7.837,0.311,119862400
1917/11/1,3.64,0.609,123622800
1917/12/1,-0.913,0.624,96210800
1918/1/1,-5.434,0.558,98268800
1918/2/1,-2.636,0.449,129861900
1918/3/1,-1.05,0.612,103431300
1918/4/1,2.615,0.418,59396400
1918/5/1,7.163,0.343,111446300
1918/6/1,10.198,0.239,125464500
1918/7/1,16.013,0.272,115437700
1918/8/1,14.413,0.512,115709300
1918/9/1,10.634,0.26,85523200
1918/10/1,8.329,0.441,112120400
1918/11/1,4.886,0.471,97863500
1918/12/1,-0.248,0.4,80483900
1919/1/1,-0.622,0.453,73537800
1919/2/1,-4.642,0.765,65627800
1919/3/1,-2.89,0.858,109953900
1919/4/1,1.272,0.843,87752000
1919/5/1,7.996,0.485,104328000
1919/6/1,11.593,0.808,80507700
1919/7/1,16.936,0.651,96732300
1919/8/1,13.607,0.609,96402600
1919/9/1,12.237,0.341,64088500
1919/10/1,5.606,0.265,66480400
1919/11/1,-1.288,0.914,55789300
1919/12/1,-2.739,0.753,62454000
1920/1/1,-2.744,0.737,43981000
1920/2/1,0.282,0.879,40784800
1920/3/1,2.41,0.601,39373600
1920/4/1,3.388,0.762,48377000
1920/5/1,8.216,0.405,111284600
1920/6/1,11.609,0.844,77270200
1920/7/1,16.015,0.423,63879900
1920/8/1,14.284,0.403,75107200
1920/9/1,12.172,0.286,77982800
1920/10/1,6.158,0.886,112140000
1920/11/1,4.502,0.635,111027000
1920/12/1,0.166,0.732,75647600
1921/1/1,-1.405,0.479,74195100
1921/2/1,-2.584,0.7,77210000
1921/3/1,2.525,0.644,470249500
1921/4/1,5.182,0.695,283903200
1921/5/1,9.845,0.522,191197300
1921/6/1,11.701,0.712,188600300
1921/7/1,13.539,0.33,143670800
1921/8/1,14.864,0.278,136717000
1921/9/1,10.939,0.285,126718900
1921/10/1,6.912,0.316,71256500
1921/11/1,-0.136,0.534,148014300
1921/12/1,-0.142,0.461,94311700
1922/1/1,-5.05,0.396,106658300
1922/2/1,-4.172,0.528,64738800
1922/3/1,-2.21,0.254,98449400
1922/4/1,0.546,0.425,80460100
1922/5/1,7.152,0.356,121255400
1922/6/1,11.747,0.389,95260200
1922/7/1,14.546,0.448,120686300
