dt,Country,AverageTemperature,TemperatureDifference
1957,Russia,-5.358250000000001,0.4554999999999989
1958,Russia,-6.154083333333333,-0.7958333333333325
1959,Russia,-4.838916666666667,1.3151666666666664
1960,Russia,-5.936,-1.097083333333333
1961,Russia,-4.960333333333334,0.9756666666666662
1962,Russia,-4.416250000000001,0.544083333333333
1963,Russia,-5.008166666666667,-0.5919166666666662
1964,Russia,-5.785833333333334,-0.7776666666666667
1965,Russia,-5.907416666666666,-0.12158333333333271
1966,Russia,-6.309583333333333,-0.402166666666667
1967,Russia,-4.36325,1.9463333333333335
1968,Russia,-5.589583333333335,-1.2263333333333355
1969,Russia,-6.766083333333333,-1.1764999999999972
1970,Russia,-5.522583333333333,1.2434999999999992
1971,Russia,-4.971166666666668,0.5514166666666656
1972,Russia,-5.702000000000001,-0.730833333333333
1973,Russia,-4.833583333333333,0.8684166666666675
1974,Russia,-5.67175,-0.838166666666667
1975,Russia,-4.141083333333334,1.530666666666666
1976,Russia,-5.927,-1.7859166666666653
1977,Russia,-5.513000000000001,0.4139999999999988
1978,Russia,-5.255916666666668,0.2570833333333331
1979,Russia,-5.904333333333334,-0.648416666666666
1980,Russia,-5.420750000000001,0.4835833333333328
1981,Russia,-4.166166666666667,1.2545833333333336
1982,Russia,-5.097583333333334,-0.9314166666666663
1983,Russia,-3.9518333333333344,1.1457499999999992
1984,Russia,-5.29425,-1.3424166666666655
1985,Russia,-5.521166666666666,-0.226916666666666
1986,Russia,-4.892250000000001,0.6289166666666652
1987,Russia,-6.274000000000001,-1.3817500000000003
1988,Russia,-4.330416666666667,1.9435833333333337
1989,Russia,-4.07325,0.25716666666666743
1990,Russia,-4.022916666666666,0.05033333333333356
1991,Russia,-4.236999999999999,-0.21408333333333296
1992,Russia,-4.90325,-0.6662500000000007
1993,Russia,-4.62175,0.2815000000000003
1994,Russia,-4.898416666666667,-0.2766666666666673
1995,Russia,-3.1301666666666663,1.7682500000000005
1996,Russia,-4.810333333333333,-1.680166666666667
1997,Russia,-4.2965,0.5138333333333334
1998,Russia,-5.281083333333334,-0.984583333333334
1999,Russia,-4.829750000000001,0.45133333333333336
2000,Russia,-4.5456666666666665,0.28408333333333413
2001,Russia,-4.490666666666667,0.054999999999999716
2002,Russia,-4.122916666666666,0.3677500000000009
2003,Russia,-3.832833333333333,0.290083333333333
2004,Russia,-4.4935833333333335,-0.6607500000000006
2005,Russia,-3.4980833333333337,0.9954999999999998
2006,Russia,-4.763,-1.2649166666666662
2007,Russia,-2.975083333333334,1.787916666666666
2008,Russia,-3.3054166666666664,-0.3303333333333325
2009,Russia,-4.6085,-1.3030833333333338
2010,Russia,-4.520583333333334,0.08791666666666664
2011,Russia,-3.401583333333333,1.1190000000000007
2012,Russia,-3.90175,-0.5001666666666669
1901,Rwanda,19.87675,0.6411666666666704
1902,Rwanda,19.36375,-0.5130000000000017
1903,Rwanda,19.39625,0.03249999999999886
1904,Rwanda,18.31883333333333,-1.077416666666668
1905,Rwanda,19.0045,0.6856666666666698
1906,Rwanda,18.878666666666668,-0.12583333333333258
1907,Rwanda,18.859666666666666,-0.019000000000001904
1908,Rwanda,18.621583333333334,-0.2380833333333321
1909,Rwanda,18.36133333333333,-0.26025000000000276
1910,Rwanda,18.662666666666667,0.3013333333333357
1911,Rwanda,19.402666666666665,0.7399999999999984
1912,Rwanda,19.7055,0.30283333333333573
1913,Rwanda,19.299166666666668,-0.40633333333333255
1914,Rwanda,19.072166666666664,-0.22700000000000387
1915,Rwanda,19.1555,0.0833333333333357
1916,Rwanda,18.843166666666665,-0.3123333333333349
1917,Rwanda,18.642333333333333,-0.20083333333333186
1918,Rwanda,18.852666666666668,0.2103333333333346
1919,Rwanda,19.043083333333332,0.19041666666666401
1920,Rwanda,18.9315,-0.11158333333333204
1921,Rwanda,19.29475,0.36325000000000074
1922,Rwanda,18.68608333333333,-0.6086666666666716
1923,Rwanda,18.71741666666667,0.03133333333333965
1924,Rwanda,19.25508333333333,0.537666666666663
1925,Rwanda,19.02916666666667,-0.225916666666663
1926,Rwanda,19.06958333333333,0.04041666666666188
1927,Rwanda,19.425,0.35541666666667027
1928,Rwanda,19.41408333333333,-0.010916666666670238
1929,Rwanda,19.16483333333333,-0.24924999999999997
1930,Rwanda,19.114,-0.05083333333332973
1931,Rwanda,19.511166666666668,0.3971666666666671
1932,Rwanda,19.18675,-0.3244166666666679
1933,Rwanda,19.13233333333333,-0.054416666666668334
1934,Rwanda,19.22875,0.09641666666666993
1935,Rwanda,19.37558333333333,0.14683333333332982
1936,Rwanda,19.31533333333333,-0.060249999999999915
1937,Rwanda,19.111833333333333,-0.20349999999999824
1938,Rwanda,19.22308333333333,0.1112499999999983
1939,Rwanda,19.191666666666663,-0.03141666666666865
1940,Rwanda,19.414,0.2223333333333386
1941,Rwanda,19.82408333333333,0.41008333333332914
1942,Rwanda,19.288666666666668,-0.5354166666666629
1943,Rwanda,19.32183333333333,0.03316666666666279
1944,Rwanda,19.3675,0.04566666666666919
1945,Rwanda,19.2085,-0.15899999999999892
1946,Rwanda,19.356416666666668,0.14791666666666714
1947,Rwanda,19.15041666666667,-0.20599999999999952
1948,Rwanda,19.25375,0.10333333333333172
1949,Rwanda,19.64825,0.39450000000000074
1950,Rwanda,19.259833333333333,-0.38841666666666796
1951,Rwanda,19.062416666666667,-0.19741666666666546
1952,Rwanda,19.4425,0.38008333333333155
1953,Rwanda,19.30433333333333,-0.13816666666667032
1954,Rwanda,19.21183333333333,-0.09249999999999758
1955,Rwanda,19.10375,-0.10808333333332953
1956,Rwanda,18.878,-0.22575000000000145
1957,Rwanda,19.301,0.42299999999999827
1958,Rwanda,19.53175,0.23075000000000045
1959,Rwanda,19.33641666666667,-0.19533333333333047
1960,Rwanda,19.243333333333336,-0.09308333333333252
1961,Rwanda,19.23,-0.013333333333335418
1962,Rwanda,19.01525,-0.21474999999999866
1963,Rwanda,18.96466666666667,-0.05058333333333209
1964,Rwanda,19.142166666666665,0.17749999999999488
1965,Rwanda,19.263583333333333,0.1214166666666685
1966,Rwanda,19.268166666666666,0.0045833333333327175
1967,Rwanda,19.10325,-0.1649166666666666
