dt,AverageTemperature,Country
2012-03-01,23.31,Cape Verde
2012-04-01,22.872,Cape Verde
2012-05-01,24.78,Cape Verde
2012-06-01,25.131,Cape Verde
2012-07-01,26.459,Cape Verde
2012-08-01,28.134,Cape Verde
2012-09-01,28.346,Cape Verde
2012-10-01,27.78,Cape Verde
2012-11-01,26.365,Cape Verde
2012-12-01,23.695,Cape Verde
2012-01-01,24.954,Cayman Islands
2012-02-01,25.658,Cayman Islands
2012-03-01,26.323,Cayman Islands
2012-04-01,26.727,Cayman Islands
2012-05-01,27.724,Cayman Islands
2012-06-01,28.676,Cayman Islands
2012-07-01,28.837,Cayman Islands
2012-08-01,29.197000000000006,Cayman Islands
2012-09-01,28.779,Cayman Islands
2012-10-01,27.673,Cayman Islands
2012-11-01,25.439,Cayman Islands
2012-12-01,25.468000000000004,Cayman Islands
2012-01-01,24.281,Central African Rep.
2012-02-01,27.403,Central African Rep.
2012-03-01,28.202,Central African Rep.
2012-04-01,27.628,Central African Rep.
2012-05-01,26.181,Central African Rep.
2012-06-01,25.344,Central African Rep.
2012-07-01,23.929,Central African Rep.
2012-08-01,24.63000000000001,Central African Rep.
2012-09-01,24.932,Central African Rep.
2012-10-01,24.955,Central African Rep.
2012-11-01,25.683000000000003,Central African Rep.
2012-12-01,24.506,Central African Rep.
2012-01-01,22.525,Chad
2012-02-01,26.868,Chad
2012-03-01,27.333,Chad
2012-04-01,31.069000000000003,Chad
2012-05-01,31.717,Chad
2012-06-01,30.038,Chad
2012-07-01,27.655,Chad
2012-08-01,27.975,Chad
2012-09-01,28.498,Chad
2012-10-01,28.517,Chad
2012-11-01,27.15,Chad
2012-12-01,23.069000000000003,Chad
2012-01-01,15.435,Chile
2012-02-01,14.048,Chile
2012-03-01,13.561,Chile
2012-04-01,10.131,Chile
2012-05-01,8.043,Chile
2012-06-01,5.7410000000000005,Chile
2012-07-01,5.072,Chile
2012-08-01,6.901,Chile
2012-09-01,8.940000000000003,Chile
2012-10-01,10.114,Chile
2012-11-01,12.337,Chile
2012-12-01,12.948,Chile
2012-01-01,-9.344,China
2012-02-01,-5.1930000000000005,China
2012-03-01,1.666,China
2012-04-01,9.736,China
2012-05-01,15.09,China
2012-06-01,18.236,China
2012-07-01,20.389,China
2012-08-01,19.458,China
2012-09-01,14.479,China
2012-10-01,7.683999999999998,China
2012-11-01,-0.254,China
2012-12-01,-7.021999999999999,China
2012-01-01,26.514,Christmas Island
2012-02-01,26.786,Christmas Island
2012-03-01,26.543000000000003,Christmas Island
2012-04-01,27.115,Christmas Island
2012-05-01,27.316,Christmas Island
2012-06-01,26.731,Christmas Island
2012-07-01,25.938,Christmas Island
2012-08-01,25.77,Christmas Island
2012-09-01,26.033,Christmas Island
2012-10-01,26.824,Christmas Island
2012-11-01,27.419,Christmas Island
2012-12-01,27.053,Christmas Island
2012-01-01,25.143,Colombia
2012-02-01,25.453000000000003,Colombia
2012-03-01,25.51,Colombia
2012-04-01,24.977,Colombia
2012-05-01,25.334000000000003,Colombia
2012-06-01,25.659,Colombia
2012-07-01,25.312,Colombia
2012-08-01,25.529,Colombia
2012-09-01,25.613000000000003,Colombia
2012-10-01,25.243,Colombia
2012-11-01,25.575,Colombia
2012-12-01,25.228,Colombia
2012-01-01,27.499,Comoros
2012-02-01,27.702,Comoros
2012-03-01,27.493,Comoros
2012-04-01,27.135,Comoros
2012-05-01,26.416,Comoros
2012-06-01,25.33,Comoros
2012-07-01,24.543000000000006,Comoros
2012-08-01,24.527,Comoros
2012-09-01,24.998,Comoros
2012-10-01,25.912,Comoros
2012-11-01,27.161,Comoros
2012-12-01,27.883000000000003,Comoros
2012-01-01,24.003,Dem. Rep. Congo
2012-02-01,24.361,Dem. Rep. Congo
2012-03-01,25.059,Dem. Rep. Congo
2012-04-01,24.422,Dem. Rep. Congo
2012-05-01,24.145,Dem. Rep. Congo
2012-06-01,23.684,Dem. Rep. Congo
2012-07-01,23.218000000000004,Dem. Rep. Congo
2012-08-01,24.261,Dem. Rep. Congo
2012-09-01,24.609,Dem. Rep. Congo
2012-10-01,24.16,Dem. Rep. Congo
2012-11-01,24.525,Dem. Rep. Congo
2012-12-01,24.029,Dem. Rep. Congo
2012-01-01,24.786,Congo
2012-02-01,25.213,Congo
2012-03-01,26.177,Congo
2012-04-01,25.774,Congo
2012-05-01,25.357,Congo
2012-06-01,24.165,Congo
2012-07-01,23.611,Congo
2012-08-01,24.216,Congo
2012-09-01,24.6,Congo
2012-10-01,24.654,Congo
2012-11-01,24.997,Congo
2012-12-01,24.932,Congo
2012-01-01,25.706,Costa Rica
2012-02-01,26.717,Costa Rica
2012-03-01,27.232,Costa Rica
2012-04-01,27.044,Costa Rica
2012-05-01,27.056,Costa Rica
2012-06-01,26.786,Costa Rica
2012-07-01,26.5,Costa Rica
2012-08-01,26.794,Costa Rica
2012-09-01,26.039,Costa Rica
2012-10-01,24.912,Costa Rica
2012-11-01,25.125,Costa Rica
2012-12-01,25.47300000000001,Costa Rica
2012-01-01,2.477,Croatia
2012-02-01,-1.231999999999999,Croatia
2012-03-01,9.972,Croatia
2012-04-01,12.226,Croatia
2012-05-01,16.713,Croatia
2012-06-01,22.276,Croatia
2012-07-01,24.613000000000003,Croatia
2012-08-01,24.412,Croatia
2012-09-01,18.973,Croatia
2012-10-01,13.168,Croatia
2012-11-01,9.883,Croatia
2012-12-01,2.201,Croatia
2012-01-01,23.468000000000004,Cuba
2012-02-01,24.418000000000003,Cuba
2012-03-01,24.904,Cuba
2012-04-01,25.255,Cuba
2012-05-01,26.542,Cuba
2012-06-01,27.778,Cuba
2012-07-01,28.026,Cuba
2012-08-01,28.301,Cuba
2012-09-01,27.983,Cuba
2012-10-01,26.954,Cuba
2012-11-01,24.587,Cuba
2012-12-01,24.492,Cuba
2012-01-01,26.364,Curaçao
2012-02-01,26.567,Curaçao
2012-03-01,26.736,Curaçao
2012-04-01,27.306,Curaçao
2012-05-01,28.595,Curaçao
2012-06-01,29.09,Curaçao
2012-07-01,29.335,Curaçao
2012-08-01,29.354,Curaçao
2012-09-01,29.463,Curaçao
2012-10-01,28.591,Curaçao
2012-11-01,28.174000000000003,Curaçao
2012-12-01,27.061,Curaçao
2012-01-01,11.202,Cyprus
2012-02-01,11.042,Cyprus
2012-03-01,13.001,Cyprus
2012-04-01,17.59,Cyprus
2012-05-01,21.244,Cyprus
2012-06-01,25.563,Cyprus
2012-07-01,28.942,Cyprus
2012-08-01,28.773000000000003,Cyprus
2012-09-01,26.481,Cyprus
2012-10-01,23.179,Cyprus
2012-11-01,18.952,Cyprus
2012-12-01,14.175,Cyprus
2012-01-01,0.2810000000000001,Czechia
2012-02-01,-4.549,Czechia
2012-03-01,6.145,Czechia
2012-04-01,8.842,Czechia
2012-05-01,14.982,Czechia
2012-06-01,16.939999999999998,Czechia
2012-07-01,19.052,Czechia
2012-08-01,19.156,Czechia
2012-09-01,14.289,Czechia
2012-10-01,8.084999999999999,Czechia
2012-11-01,5.046,Czechia
2012-12-01,-1.138,Czechia
2012-01-01,2.424,Denmark (Europe)
2012-02-01,-0.216,Denmark (Europe)
2012-03-01,5.912000000000001,Denmark (Europe)
2012-04-01,6.537000000000001,Denmark (Europe)
2012-05-01,12.616,Denmark (Europe)
2012-06-01,13.265999999999998,Denmark (Europe)
2012-07-01,16.612000000000002,Denmark (Europe)
2012-08-01,17.223,Denmark (Europe)
2012-09-01,13.546,Denmark (Europe)
2012-10-01,8.862,Denmark (Europe)
2012-11-01,6.099,Denmark (Europe)
2012-12-01,0.1780000000000001,Denmark (Europe)
2012-01-01,-27.273000000000003,Denmark
2012-02-01,-28.514,Denmark
2012-03-01,-28.244,Denmark
2012-04-01,-20.064,Denmark
2012-05-01,-10.398,Denmark
2012-06-01,-2.907,Denmark
2012-07-01,0.6359999999999999,Denmark
2012-08-01,-1.869,Denmark
2012-09-01,-8.641,Denmark
2012-10-01,-17.445,Denmark
2012-11-01,-23.973000000000003,Denmark
2012-12-01,-26.439,Denmark
2012-01-01,25.527,Djibouti
2012-02-01,26.175,Djibouti
2012-03-01,27.445,Djibouti
2012-04-01,28.81600000000001,Djibouti
2012-05-01,30.668000000000003,Djibouti
2012-06-01,33.876999999999995,Djibouti
2012-07-01,34.827,Djibouti
2012-08-01,35.053000000000004,Djibouti
2012-09-01,32.899,Djibouti
2012-10-01,29.849,Djibouti
2012-11-01,27.531,Djibouti
2012-12-01,26.416,Djibouti
2012-01-01,25.56,Dominica
2012-02-01,25.365,Dominica
2012-03-01,25.765,Dominica
2012-04-01,26.389,Dominica
2012-05-01,27.248,Dominica
2012-06-01,28.638,Dominica
2012-07-01,28.374,Dominica
2012-08-01,28.179,Dominica
2012-09-01,28.270000000000003,Dominica
2012-10-01,27.835,Dominica
2012-11-01,27.567,Dominica
2012-12-01,26.158,Dominica
2012-01-01,24.326,Dominican Rep.
2012-02-01,24.688,Dominican Rep.
2012-03-01,24.998,Dominican Rep.
2012-04-01,25.372,Dominican Rep.
2012-05-01,26.75500000000001,Dominican Rep.
2012-06-01,27.907,Dominican Rep.
2012-07-01,28.049,Dominican Rep.
2012-08-01,28.023000000000003,Dominican Rep.
2012-09-01,27.242,Dominican Rep.
2012-10-01,26.801,Dominican Rep.
2012-11-01,26.51,Dominican Rep.
2012-12-01,25.41,Dominican Rep.
2012-01-01,22.176,Ecuador
2012-02-01,22.237,Ecuador
2012-03-01,22.759,Ecuador
2012-04-01,22.661,Ecuador
2012-05-01,22.954,Ecuador
2012-06-01,22.981,Ecuador
2012-07-01,22.087000000000003,Ecuador
2012-08-01,22.003,Ecuador
2012-09-01,22.12,Ecuador
2012-10-01,22.254,Ecuador
2012-11-01,22.686,Ecuador
2012-12-01,22.433000000000003,Ecuador
2012-01-01,12.489,Egypt
2012-02-01,15.536,Egypt
2012-03-01,18.045,Egypt
2012-04-01,24.626,Egypt
2012-05-01,28.515,Egypt
2012-06-01,31.200000000000006,Egypt
2012-07-01,31.642,Egypt
